排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,产学研合作（校企合作论文·篇）,成果转化（技术转让收入·千元）,
1,清华大学,北京市,95.9,100.0,97.90%,37342,1.298,1177,109,1137711,1187,593522,
2,北京大学,北京市,82.6,98.9,95.96%,36137,1.294,986,87,439403,799,7343,
3,浙江大学,浙江省,80,88.8,96.46%,41188,1.059,803,86,959511,833,64392,
4,上海交通大学,上海市,78.7,90.6,96.76%,40417,1.08,730,76,688607,909,104871,
5,复旦大学,上海市,70.9,90.4,97.04%,25519,1.311,687,58,246736,534,2088,
6,南京大学,江苏省,66.1,90.7,98.58%,20722,1.302,551,34,365202,239,5130,
7,中国科学技术大学,安徽省,65.5,90.1,91.30%,18507,1.433,662,40,63767,228,658,
8,哈尔滨工业大学,黑龙江省,63.5,80.9,94.32%,25249,0.932,478,22,1403251,379,4970,
9,华中科技大学,湖北省,62.9,83.5,92.07%,23503,1.099,507,33,442079,482,11457,
10,中山大学,广东省,62.1,81.8,93.45%,23837,1.19,464,46,147873,207,310,
11,东南大学,江苏省,61.4,84.0,98.69%,17918,1.005,392,22,671348,248,169832,
12,天津大学,天津市,60.8,85.8,99.01%,16319,0.92,242,17,1360903,398,5579,
13,同济大学,上海市,59.8,87.5,96.99%,20085,0.892,312,30,269345,433,2460,
14,北京航空航天大学,北京市,59.6,88.5,98.26%,16217,0.86,246,10,1128359,384,34,
15,四川大学,四川省,59.4,77.3,96.54%,25937,0.872,317,19,1039132,297,19326,
16,武汉大学,湖北省,59.1,84.7,95.31%,19139,1.008,341,19,496422,368,3500,
17,西安交通大学,陕西省,58.9,85.2,97.09%,20573,0.963,307,14,263583,560,33712,
18,南开大学,天津市,58.3,88.7,96.46%,10599,1.385,297,16,62690,83,62683,
19,大连理工大学,辽宁省,56.9,79.1,95.00%,18674,0.963,342,28,336068,280,3510,
20,山东大学,山东省,56.3,76.3,93.91%,22344,1.035,301,19,292534,296,40450,
21,华南理工大学,广东省,56.2,76.1,98.30%,15665,1.093,329,21,337235,294,37164,
22,吉林大学,吉林省,55.7,77.4,91.97%,22722,0.923,327,18,221544,436,1230,
23,厦门大学,福建省,55.4,83.4,96.40%,11075,1.23,282,14,161782,103,1360,
24,北京师范大学,北京市,54.6,86.1,98.08%,10091,1.16,217,13,65379,73,3800,
25,北京理工大学,北京市,53.9,83.0,96.79%,12362,0.837,226,10,484400,261,16700,
26,苏州大学,江苏省,53.1,71.5,94.64%,11949,1.238,308,15,457872,74,1055,
27,中南大学,湖南省,52.5,75.9,93.92%,20134,0.804,243,15,230552,178,37800,
28,北京科技大学,北京市,52.2,76.5,96.64%,11604,0.757,143,6,885668,509,3402,
29,南京航空航天大学,江苏省,52,76.9,99.78%,11094,0.778,177,11,521442,344,34523,
30,华东理工大学,上海市,51.9,73.8,95.17%,10180,1.14,239,11,217468,266,37639,
31,湖南大学,湖南省,51.4,76.3,93.44%,10860,1.036,268,16,121116,136,2350,
31,中国人民大学,北京市,51.4,92.2,96.44%,2649,1.114,46,4,8150,27,0,
33,重庆大学,重庆市,50.9,74.4,94.99%,16565,0.763,196,6,432145,355,6200,
34,华东师范大学,上海市,50.6,78.0,95.25%,7280,1.186,179,10,44086,67,655,
35,中国地质大学（武汉）,湖北省,50.4,67.4,94.56%,10117,1.04,223,9,166767,855,0,
36,西北工业大学,陕西省,50.3,78.7,96.48%,12703,0.654,104,7,397779,468,207,
36,电子科技大学,四川省,50.3,74.9,95.49%,10803,0.881,198,12,307115,253,3540,
