排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例） ,
——,清华大学,北京,94.0 ,100.0 ,97.70%,40938,1.381,1373,111,1263428,613524,7.04%,
——,北京大学,北京,81.2 ,96.1 ,97.61%,39853,1.327,1137,90,470237,31652,6.16%,
——,浙江大学,浙江,77.8 ,87.2 ,97.91%,44509,1.109,921,88,1107921,23240,4.67%,
——,上海交通大学,上海,77.5 ,89.4 ,98.62%,44674,1.134,836,79,796668,94339,6.30%,
——,复旦大学,上海,71.1 ,91.8 ,97.85%,28205,1.355,758,57,246629,6221,6.78%,
——,中国科学技术大学,安徽,65.9 ,91.9 ,95.20%,20169,1.502,749,40,69617,0,1.02%,
——,南京大学,江苏,65.3 ,87.1 ,98.60%,23308,1.344,610,34,408221,647,4.63%,
——,华中科技大学,湖北,63.0 ,80.6 ,95.58%,26199,1.202,645,34,486917,5401,4.19%,
——,中山大学,广东,62.7 ,81.1 ,92.77%,26422,1.247,565,46,212530,1373,4.15%,
——,哈尔滨工业大学,黑龙江,61.6 ,76.4 ,95.20%,26672,1.005,550,23,1666191,4886,1.98%,
——,同济大学,上海,60.8 ,86.2 ,97.55%,22594,0.962,392,31,376052,1575,6.40%,
——,东南大学,江苏,59.8 ,80.5 ,98.95%,19585,1.063,449,22,566012,133261,4.30%,
——,武汉大学,湖北,58.4 ,82.5 ,95.88%,21722,1.088,434,19,472419,1390,2.70%,
——,北京航空航天大学,北京,58.3 ,85.5 ,98.80%,17704,0.92,301,10,1184932,0,3.64%,
——,南开大学,天津,58.2 ,86.5 ,95.82%,11447,1.439,368,18,49020,1930,3.92%,
——,四川大学,四川,57.4 ,74.5 ,96.43%,28729,0.922,372,19,973753,19015,1.60%,
——,西安交通大学,陕西,57.4 ,82.2 ,97.43%,23313,1.025,385,14,307645,35398,2.64%,
——,天津大学,天津,56.2 ,82.7 ,98.19%,19045,0.995,333,17,492429,9819,0.80%,
——,华南理工大学,广东,56.1 ,75.6 ,99.03%,17411,1.159,412,21,276854,44887,2.75%,
——,北京师范大学,北京,55.1 ,82.5 ,98.87%,11347,1.208,254,13,68055,63,5.47%,
——,厦门大学,福建,55.0 ,81.5 ,95.40%,12607,1.264,314,14,137004,1825,3.37%,
——,山东大学,山东,54.5 ,71.9 ,94.32%,25414,1.062,344,19,287692,38830,2.12%,
——,大连理工大学,辽宁,54.1 ,74.0 ,95.03%,19744,0.978,360,29,311444,715,1.85%,
——,吉林大学,吉林,53.9 ,72.3 ,94.05%,25536,0.946,381,18,258803,1654,2.83%,
——,北京理工大学,北京,53.1 ,80.4 ,96.73%,13676,0.906,269,10,568301,28345,1.67%,
——,中南大学,湖南,52.4 ,74.2 ,95.23%,22282,0.913,307,15,254709,3370,1.20%,
——,对外经济贸易大学,北京,51.9 ,84.5 ,98.66%,667,0.962,7,2,0,0,15.99%,
——,苏州大学,江苏,51.7 ,65.1 ,94.12%,14296,1.296,384,15,469018,1420,2.04%,
——,中国人民大学,北京,51.7 ,90.0 ,96.45%,3104,1.11,51,4,3492,0,4.61%,
——,西北工业大学,陕西,51.1 ,75.5 ,96.65%,13791,0.76,149,7,1155303,1910,1.90%,
——,湖南大学,湖南,50.7 ,73.3 ,95.34%,12093,1.094,315,15,115330,1050,1.22%,
——,华东理工大学,上海,50.0 ,70.7 ,96.38%,11133,1.168,252,11,206614,28017,1.38%,
——,华东师范大学,上海,50.0 ,76.1 ,92.62%,7944,1.202,190,10,49185,760,3.48%,
——,电子科技大学,四川,49.4 ,73.3 ,95.70%,12002,0.948,238,13,269879,5841,1.02%,
——,重庆大学,重庆,49.3 ,72.0 ,95.72%,17882,0.818,240,5,431062,1118,1.35%,
——,南京航空航天大学,江苏,49.1 ,70.8 ,99.76%,11886,0.792,176,12,529794,39436,2.38%,
——,北京科技大学,北京,48.9 ,73.2 ,96.41%,13298,0.805,177,6,427419,700,3.11%,
——,上海财经大学,上海,48.8 ,84.5 ,95.64%,966,1.07,16,1,0,0,4.89%,
——,南京理工大学,江苏,48.0 ,70.7 ,98.32%,9817,0.876,175,7,407714,76200,0.80%,
——,中国农业大学,北京,48.0 ,69.7 ,96.70%,11576,1.068,156,11,97796,2610,1.23%,
——,北京交通大学,北京,47.4 ,73.4 ,98.03%,9987,0.762,162,5,0,1050,5.44%,
——,北京化工大学,北京,47.1 ,65.8 ,98.49%,7943,1.14,188,9,246524,0,1.00%,
——,首都医科大学,北京,47.1 ,71.0 ,94.90%,13528,0.862,99,4,18691,0,5.33%,
——,福州大学,福建,46.7 ,65.9 ,93.58%,5424,1.282,176,8,92365,99620,0.02%,
——,武汉理工大学,湖北,46.7 ,67.5 ,95.45%,7231,1.007,193,7,363146,1326,2.08%,
——,中央财经大学,北京,46.7 ,84.4 ,95.45%,888,0.912,9,2,0,0,1.87%,
——,北京邮电大学,北京,46.6 ,77.4 ,99.34%,6561,0.825,135,3,0,1600,0.92%,
——,东华大学,上海,46.6 ,65.6 ,97.30%,5142,1.223,157,6,89109,3840,3.51%,
——,华中师范大学,湖北,46.6 ,67.6 ,91.47%,3841,1.453,125,2,10497,13638,2.53%,
——,上海大学,上海,46.5 ,63.5 ,99.07%,10364,0.998,184,7,394159,1265,1.45%,
——,西安电子科技大学,陕西,46.2 ,70.3 ,98.20%,10135,0.809,178,7,190167,142,0.70%,
——,北京协和医学院,北京,45.9 ,72.4 ,96.49%,6008,0.914,71,20,0,0,0.02%,
——,天津医科大学,天津,45.7 ,71.4 ,88.23%,7110,0.843,55,2,5065,0,10.34%,
——,华北电力大学,北京,45.5 ,72.1 ,97.60%,7698,0.855,94,4,179023,850,0.78%,
——,东北大学,辽宁,45.3 ,67.2 ,95.30%,11303,0.74,143,8,360923,748,1.64%,
——,东北师范大学,吉林,45.3 ,63.7 ,98.32%,4403,1.257,109,10,22634,0,1.07%,
——,暨南大学,广东,45.2 ,70.9 ,97.03%,6346,0.879,70,3,41766,9303,3.54%,
——,兰州大学,甘肃,45.0 ,66.3 ,90.32%,9818,1.05,154,9,51184,280,1.01%,
——,江南大学,江苏,44.8 ,65.4 ,97.71%,7449,0.984,101,5,226447,7350,1.14%,
——,南京医科大学,江苏,44.8 ,60.7 ,97.32%,9930,1.056,115,7,28976,0,3.66%,
——,中国海洋大学,山东,44.7 ,69.0 ,94.35%,6762,0.981,103,3,115402,0,1.56%,
——,上海外国语大学,上海,44.5 ,75.8 ,97.02%,119,0.69,0,0,0,0,8.23%,
——,中国地质大学（北京）,北京,44.3 ,63.9 ,95.02%,6108,1.136,169,3,104185,40,0.53%,
——,西南财经大学,四川,44.1 ,76.7 ,95.04%,828,0.932,16,1,0,0,0.71%,
——,中国地质大学（武汉）,湖北,44.0 ,63.5 ,92.90%,6148,1.016,123,9,141034,310,2.26%,
——,华中农业大学,湖北,43.9 ,61.4 ,96.35%,5998,1.159,76,10,40477,183,1.21%,
——,南方医科大学,广东,43.9 ,64.9 ,95.87%,7716,0.819,57,3,20931,43650,5.71%,
——,合肥工业大学,安徽,43.6 ,62.7 ,96.23%,6364,0.92,124,1,167243,146972,0.32%,
——,中国医科大学,辽宁,43.5 ,69.5 ,92.50%,7536,0.789,48,1,40,0,4.34%,
——,西南大学,重庆,43.4 ,59.9 ,95.36%,6870,1.116,153,7,67676,460,0.76%,
——,南京农业大学,江苏,43.3 ,60.4 ,96.18%,7392,1.113,80,7,85250,7855,0.61%,
——,中国药科大学,江苏,43.3 ,66.3 ,99.21%,5205,0.916,38,5,59763,1110,1.17%,
——,中南财经政法大学,湖北,43.3 ,74.9 ,92.93%,285,0.999,6,0,0,0,0.41%,
——,哈尔滨工程大学,黑龙江,43.2 ,67.5 ,94.95%,7884,0.722,110,3,151489,575,1.86%,
——,中国石油大学（北京）,北京,43.2 ,66.0 ,91.73%,6814,0.702,64,1,476541,2390,4.68%,
——,浙江工业大学,浙江,43.0 ,64.7 ,95.12%,6249,0.837,87,4,232500,950,2.11%,
——,东北财经大学,辽宁,42.9 ,70.3 ,95.06%,350,0.973,6,1,0,0,2.77%,
——,河海大学,江苏,42.9 ,66.3 ,96.00%,6878,0.762,76,1,295445,377,1.48%,
——,中国矿业大学,江苏,42.9 ,60.6 ,98.71%,10315,0.816,132,2,290646,1890,0.45%,
——,北京工业大学,北京,42.8 ,64.3 ,98.75%,8454,0.668,91,3,237313,29310,1.48%,
